gene_symbol,Ifi44
pvalue,0.6524943
analysis_id,nq9uz8u874i37ju
mouse_strain,C57BL
gene_accession_id,MGI:2443016
parameter_id,IMPC_DXA_003_001
mouse_life_stage,Early adult
parameter_name,Lean mass
