parameter_name,Total food intake
gene_accession_id,MGI:2140475
mouse_strain,C57BL
gene_symbol,AU040320
analysis_id,j0z3d68csq365tw
parameter_id,IMPC_CAL_008_001
pvalue,0.1209463
mouse_life_stage,Middle aged adult
