analysis_id,61fmo91yf2os51n
mouse_life_stage,E12.5
parameter_id,IMPC_CBC_013_001
gene_symbol,AHCY
mouse_strain,C57BL
parameter_name,Alanine aminotransferase
pvalue,0.9395759
gene_accession_id,MGI:87968
