gene_symbol,Fgb
mouse_strain,C57BL
pvalue,0.9783115
analysis_id,s833qbv0so07718
parameter_name,Pale yolk sac
gene_accession_id,MGI:99501
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_017_002
