gene_symbol,Mms22l
analysis_id,13xh1r7c43o79i6
parameter_name,Retina (combined)
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAXLA_EYE_092_001
pvalue,0.1946835
gene_accession_id,MGI:2684980
