gene_symbol,Cntfr
analysis_id,q02feb9t8eb1ji7
gene_accession_id,MGI:99605
pvalue,0.1007266
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_IPG_011_001
parameter_name,Initial response to glucose challenge
