gene_symbol,Tnfsf10
gene_accession_id,MGI:107414
parameter_name,12kHz-evoked ABR Threshold
mouse_life_stage,Early adult
pvalue,0.4736676
parameter_id,IMPC_ABR_006_001
mouse_strain,C57BL
analysis_id,74eku9gi6ffqo50
