gene_symbol,Trdmt1
mouse_life_stage,Early adult
parameter_name,Shape of vertebrae
analysis_id,20at605c1l6mm9n
parameter_id,IMPC_XRY_018_001
gene_accession_id,MGI:1274787
mouse_strain,C57BL
pvalue,0.9095183
