parameter_id,TCPLA_XRY_033_001
analysis_id,swee9063932s3xb
pvalue,0.5453895
mouse_life_stage,Early adult
parameter_name,Tibia length
mouse_strain,C57BL
gene_accession_id,MGI:1923029
gene_symbol,Dnaaf9
