gene_symbol,Psmd14
gene_accession_id,MGI:1913284
pvalue,0.8466
analysis_id,l5ix51arplaz667
parameter_id,IMPC_CSD_016_001
mouse_strain,C57BL
parameter_name,Coat - hair texture / appearance - abdomen
mouse_life_stage,Early adult
