analysis_id,37q9x2ba2c1639x
gene_symbol,Eprs1
gene_accession_id,MGI:97838
pvalue,0.3155167
mouse_strain,C57BL
parameter_id,ESLIM_008_001_001
parameter_name,Body position
mouse_life_stage,Early adult
