analysis_id,iu2l96288bxyfxt
mouse_life_stage,Early adult
gene_symbol,Traf6
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
gene_accession_id,MGI:108072
mouse_strain,C57BL
parameter_id,MGP_IMM_017_001
pvalue,0.8851001
