parameter_id,MGP_MLN_058_001
mouse_strain,C57BL
gene_accession_id,MGI:1915524
gene_symbol,Toporsl
analysis_id,43f2912954g412t
mouse_life_stage,Early adult
parameter_name,Plasmacytoid DC - % of DC
pvalue,0.4723237
