analysis_id,w3b4c7653z6739e
gene_accession_id,MGI:3026886
pvalue,0.8018081
parameter_name,center - distance
gene_symbol,Cdin1
mouse_strain,C57BL
parameter_id,M-G-P_007_001_010
mouse_life_stage,Early adult
