parameter_name,Cholesterol ratio
pvalue,0.1428015
gene_accession_id,MGI:1915472
mouse_life_stage,Early adult
analysis_id,rr2d56gk74b2li2
mouse_strain,C57BL
gene_symbol,Tubb4b
parameter_id,IMPC_CBC_058_001
