analysis_id,v04c0glcy4nu9oc
parameter_id,M-G-P_006_001_026
mouse_strain,C57BL
gene_accession_id,MGI:1914071
parameter_name,Fusion of vertebrae
gene_symbol,Bcs1l
pvalue,0.8333118
mouse_life_stage,E9.5
