analysis_id,9437783f8pate81
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
gene_accession_id,MGI:2181659
pvalue,0.961752
gene_symbol,Tox
mouse_life_stage,Early adult
parameter_id,MGP_IMM_028_001
mouse_strain,C57BL
