parameter_name,Placenta Morphology
analysis_id,5qe31mi0h1sbcd2
gene_symbol,Nipal3
parameter_id,IMPC_GPO_002_001
mouse_life_stage,Early adult
mouse_strain,129SV
gene_accession_id,MGI:1921802
pvalue,0.5914571
