analysis_id,l0gkyb565ssq301
mouse_strain,C57BL
parameter_name,LVIDd
pvalue,0.5176734
gene_accession_id,MGI:105073
parameter_id,IMPC_ECH_008_001
mouse_life_stage,Early adult
gene_symbol,Tnni1
