gene_symbol,Trp53rkb
mouse_strain,C57BL
parameter_id,MGP_PBI_027_001
gene_accession_id,MGI:1914050
mouse_life_stage,Early adult
analysis_id,g9fgm8az13goc30
pvalue,0.7966593
parameter_name,NK cell number
