gene_symbol,Rab22a
parameter_id,JAX_LDT_002_001
pvalue,0.3745522
gene_accession_id,MGI:105072
mouse_strain,C57BL
analysis_id,ptlrc3k9zoa6356
parameter_name,Light side time spent
mouse_life_stage,Early adult
