gene_symbol,Steap3
parameter_id,MGP_IMM_011_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1915678
pvalue,0.1307722
analysis_id,4l0sh17lzc534z6
parameter_name,Resting Treg cells - % of Treg
