analysis_id,5m434oah4sr416j
parameter_name,lens
parameter_id,M-G-P_014_001_009
pvalue,0.8427538
gene_symbol,Slc17a9
mouse_life_stage,Early adult
gene_accession_id,MGI:1919107
mouse_strain,C57BL
