parameter_name,Eosinophil cell count
mouse_strain,C57BL
analysis_id,q82u99x014dxm8f
pvalue,0.5986691
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_036_001
gene_accession_id,MGI:1919137
gene_symbol,Ppm1j
