analysis_id,cr7323h62486r8o
mouse_life_stage,Early adult
parameter_id,IMPC_GRS_011_001
gene_accession_id,MGI:99605
pvalue,0.2373444
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
gene_symbol,Cntfr
mouse_strain,C57BL
