mouse_strain,129SV
pvalue,0.5841481
parameter_name,Number of rears - total
gene_symbol,Zmynd8
analysis_id,qsz1932144i3258
parameter_id,IMPC_OFD_021_001
gene_accession_id,MGI:1918025
mouse_life_stage,Early adult
