gene_symbol,Ntmt2
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAX_OFD_017_001
analysis_id,79k7j0uzw13p7jj
pvalue,0.2757461
parameter_name,Center average speed
gene_accession_id,MGI:2685053
