analysis_id,009081c31ho6v74
mouse_life_stage,Early adult
pvalue,0.07608061
parameter_name,Total CD8+ T cells - % of ab T cells
gene_accession_id,MGI:1920638
parameter_id,MGP_IMM_013_001
mouse_strain,129SV
gene_symbol,Bpifa3
