gene_symbol,Arpc2
pvalue,0.345189
parameter_id,MGP_IMM_089_001
parameter_name,KLRG1+ gd T cells - % of CD45+
gene_accession_id,MGI:1923959
analysis_id,9zq72os26k9960n
mouse_strain,C57BL
mouse_life_stage,Early adult
