parameter_name,Body position
mouse_strain,C57BL
analysis_id,275j80l0y6r169u
mouse_life_stage,Early adult
gene_symbol,Slx4ip
parameter_id,ESLIM_008_001_001
gene_accession_id,MGI:1921493
pvalue,0.8080082
