analysis_id,257h2w0bu0n0e32
parameter_name,Tibia length
mouse_strain,C57BL
pvalue,0.4373034
gene_accession_id,MGI:88328
gene_symbol,Tnfsf8
parameter_id,IMPC_XRY_033_001
mouse_life_stage,Early adult
