analysis_id,1sbelwntt95vk8n
pvalue,0.2191841
parameter_name,CD8+ alpha beta T cell percentage
parameter_id,MGP_PBI_004_001
mouse_strain,C57BL
gene_accession_id,MGI:1921262
mouse_life_stage,Early adult
gene_symbol,Rap2b
