gene_symbol,Mgst2
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,DN CD44+CD62L- NKT cells
gene_accession_id,MGI:2448481
pvalue,0.7937427
analysis_id,7527kfj7fhq1454
parameter_id,IMPC_IMM_046_001
