parameter_id,HRWLLA_DXA_007_001
mouse_life_stage,E18.5
parameter_name,BMC/Body weight
mouse_strain,C57BL
analysis_id,mih5p027100ahok
pvalue,0.5445008
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
