analysis_id,ycxe7o2t1jj30ue
parameter_id,MGP_IMM_017_001
gene_symbol,Kdm5b
mouse_strain,C57BL
pvalue,0.7304931
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
mouse_life_stage,Early adult
gene_accession_id,MGI:1922855
