gene_symbol,Kif24
gene_accession_id,MGI:1918345
analysis_id,id2229b4b3845ev
pvalue,0.5969376
parameter_name,Total T cells - % of CD45+
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_MLN_001_001
