gene_symbol,Morn5
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Periphery average speed
gene_accession_id,MGI:1922745
analysis_id,22q50q75612qgt6
pvalue,0.6549058
parameter_id,IMPC_OFD_013_001
