analysis_id,065909j0n63v6t5
parameter_name,Forelimb and hindlimb grip strength measurement mean
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_GRS_009_001
gene_symbol,Cpa3
gene_accession_id,MGI:88479
pvalue,0.4692381
