analysis_id,4x4wxygg8q88vh9
gene_symbol,Tubb4b
mouse_strain,C57BL
pvalue,0.8176947
parameter_id,MGP_PBI_010_001
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell percentage
mouse_life_stage,Early adult
gene_accession_id,MGI:1915472
