mouse_strain,B6J
gene_symbol,Nr0b2
gene_accession_id,MGI:1346344
pvalue,0.9915773
analysis_id,2fuw66k9c2eoe15
parameter_name,Calcium
parameter_id,IMPC_CBC_009_001
mouse_life_stage,Early adult
