gene_symbol,Sass6
mouse_life_stage,E9.5
pvalue,0.1004252
parameter_name,eye size
mouse_strain,C57BL
gene_accession_id,MGI:1920026
analysis_id,ev1ou93409tpc4e
parameter_id,ESLIM_001_001_117
