analysis_id,q209at2b18bt5wj
parameter_name,Total T cells - % of CD45+
pvalue,0.9927576
parameter_id,MGP_MLN_001_001
gene_accession_id,MGI:2135738
mouse_strain,C57BL
gene_symbol,Abo
mouse_life_stage,Early adult
