gene_symbol,Zmynd8
parameter_name,Hindpaw - size
mouse_life_stage,Early adult
gene_accession_id,MGI:1918025
analysis_id,ud4k05z237dh0pr
pvalue,0.6528667
mouse_strain,C57BL
parameter_id,JAXLA_CSD_041_002
