parameter_id,ESLIM_016_001_003
pvalue,0.6225713
analysis_id,55q07d0i20a2n71
gene_accession_id,MGI:1924054
mouse_strain,C57BL
gene_symbol,Kdm4c
parameter_name,Haemoglobin
mouse_life_stage,Early adult
