parameter_name,Retina (combined)
pvalue,0.5857243
parameter_id,JAXLA_EYE_092_001
gene_accession_id,MGI:2441730
mouse_strain,C57BL
analysis_id,9qnygo8d5a18201
mouse_life_stage,Early adult
gene_symbol,Tbl1xr1
