gene_symbol,Bpifa3
analysis_id,k4uwk1kybm688p5
mouse_strain,129SV
pvalue,0.7346499
mouse_life_stage,Early adult
gene_accession_id,MGI:1920638
parameter_name,Effector CD8+ T cells - % of CD8+
parameter_id,MGP_MLN_013_001
