analysis_id,lkg2ja034z98mh1
parameter_id,IMPC_GEL_060_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.6398481
gene_symbol,Tiprl
parameter_name,Neural tube morphology
gene_accession_id,MGI:1915087
