gene_symbol,Cmpk1
analysis_id,drx3a1ehzs75160
gene_accession_id,MGI:1913838
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_025_001
parameter_name,Tibia
pvalue,0.7398374
