pvalue,3.881907e-06
mouse_strain,C57BL
analysis_id,2y11rq93ee28593
parameter_name,Iron
mouse_life_stage,Early adult
gene_symbol,Bach2
gene_accession_id,MGI:894679
parameter_id,IMPC_CBC_011_001
