analysis_id,7e33401bq31933r
parameter_id,ESLIM_011_001_006
mouse_life_stage,Early adult
parameter_name,110dB startle magnitude
pvalue,0.6745779
mouse_strain,C57BL
gene_accession_id,MGI:1927232
gene_symbol,Rab13
