parameter_name,Mean-corpuscular-haemoglobin
mouse_life_stage,E9.5
gene_accession_id,MGI:1914515
gene_symbol,Slc39a10
parameter_id,M-G-P_016_001_006
analysis_id,uds0tgol8953iz8
pvalue,0.9307162
mouse_strain,C57BL
