gene_symbol,Rnf114
pvalue,0.4531634
analysis_id,7x1zlnzv9hm7zh2
mouse_strain,C57BL
parameter_name,Resting Treg cells - % of Treg
gene_accession_id,MGI:1933159
parameter_id,MGP_MLN_010_001
mouse_life_stage,Early adult
