analysis_id,q516ff5ud3i27e3
gene_accession_id,MGI:1914050
mouse_life_stage,Early adult
parameter_name,Vocalization
parameter_id,IMPC_CSD_078_001
pvalue,0.3769469
gene_symbol,Trp53rkb
mouse_strain,C57BL
