analysis_id,lxay00746mdt4lt
gene_accession_id,MGI:1345282
gene_symbol,Slc30a4
mouse_strain,C57BL
pvalue,0.9482177
mouse_life_stage,Early adult
parameter_id,MGP_IMM_079_001
parameter_name,KLRG1+ Treg cells - % of CD45+
