parameter_id,IMPC_ECH_001_001
pvalue,0.2356558
mouse_life_stage,E9.5
gene_accession_id,MGI:1328306
parameter_name,End-Systolic Diameter
gene_symbol,Orc2
analysis_id,d7473dw80fqa2g3
mouse_strain,C57BL
