analysis_id,id4josi9t769v8t
pvalue,0.3960743
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:88174
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
parameter_id,IMPC_IMM_004_002
gene_symbol,Bmi1
