gene_symbol,Arpc2
gene_accession_id,MGI:1923959
mouse_life_stage,Early adult
parameter_name,Others
analysis_id,09368k9cf3x18t9
pvalue,0.5456321
mouse_strain,C57BL
parameter_id,IMPC_IMM_006_001
