gene_symbol,Tatdn3
parameter_id,MGP_IMM_041_001
mouse_life_stage,Early adult
parameter_name,Total B cells - % of CD45+
pvalue,0.2199053
mouse_strain,C57BL
gene_accession_id,MGI:1916222
analysis_id,x55136z60tkm083
