analysis_id,9ee692f2880h128
pvalue,0.4559286
parameter_id,IMPC_IMM_073_001
gene_symbol,Tbl1xr1
parameter_name,cDCs CD11b Type
gene_accession_id,MGI:2441730
mouse_strain,C57BL
mouse_life_stage,Late adult
