parameter_id,JAXLA_OFD_007_001
analysis_id,150b6w1125abo62
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Sgip1
pvalue,0.4028561
gene_accession_id,MGI:1920344
parameter_name,Whole arena resting time
