parameter_name,B cell percentage
analysis_id,f0eu151fg6265l3
mouse_strain,C56BL
pvalue,0.1192186
gene_accession_id,MGI:2181659
gene_symbol,Tox
mouse_life_stage,Early adult
parameter_id,MGP_PBI_014_001
