parameter_name,Liver weight
gene_symbol,Zmynd8
pvalue,0.07833949
gene_accession_id,MGI:1918025
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,z6u69o1yi641010
parameter_id,UCD_OWT_008_001
