parameter_id,HRWLLA_CSD_008_001
analysis_id,4883s7i058oo418
mouse_strain,C57BL
gene_accession_id,MGI:1328306
parameter_name,Coat - color pattern - back
mouse_life_stage,E9.5
pvalue,0.8391432
gene_symbol,Orc2
