analysis_id,b4vf78480d51u35
parameter_id,MGP_MLN_001_001
gene_symbol,Arpc2
mouse_strain,129SV
mouse_life_stage,Early adult
gene_accession_id,MGI:1923959
pvalue,0.3801686
parameter_name,Total T cells - % of CD45+
